name,month,day,time,year,timeZone,insertions,deletions
Greg Nietsky,Oct,28,19:21:33,2013,200,45734,0
Kristian Høgsberg,Oct,9,16:20:54,2013,-700,2,2
Kristian Høgsberg,Oct,7,21:36:31,2013,-700,3,1
Kristian Høgsberg,Oct,2,22:14:57,2013,-700,1,1
Neil Roberts,Sep,25,10:39:12,2013,100,3,1
Kristian Høgsberg,Sep,22,14:12:26,2013,-700,1,1
Jason Ekstrand,Sep,20,8:27:06,2013,-500,5,1
Marek Ch,Sep,18,17:29:50,2013,200,170,1
Marek Ch,Sep,18,17:29:49,2013,200,117,1
Marek Ch,Sep,18,17:29:48,2013,200,14,3
Chang Liu,Sep,18,10:45:06,2013,0,1,1
Aaron Faanes,Sep,17,16:44:24,2013,-500,6,4
Aaron Faanes,Sep,17,16:42:43,2013,-500,35,0
Aaron Faanes,Sep,17,16:40:49,2013,-500,1,1
Aaron Faanes,Sep,15,13:37:09,2013,-500,6,0
Aaron Faanes,Sep,15,13:37:08,2013,-500,1,1
Aaron Faanes,Sep,15,13:37:07,2013,-500,5,0
Aaron Faanes,Sep,15,13:37:06,2013,-500,6,1
Aaron Faanes,Sep,15,13:09:18,2013,-500,45,0
Chang Liu,Sep,8,11:12:33,2013,0,1,0
Rob Bradford,Sep,6,17:56:27,2013,100,8,0
Aaron Faanes,Aug,28,18:02:02,2013,-500,3,2
Aaron Faanes,Aug,28,18:02:01,2013,-500,37,0
Aaron Faanes,Aug,28,17:43:34,2013,-500,1,1
Kristian Høgsberg,Aug,30,14:54:40,2013,-700,1,1
Kristian Høgsberg,Aug,13,20:06:30,2013,100,1,1
Kristian Høgsberg,Aug,13,20:06:29,2013,100,16,4
Jason Ekstrand,Jul,17,21:58:47,2013,-500,86,9
Jason Ekstrand,Jul,17,21:58:46,2013,-500,120,25
Jason Ekstrand,Aug,18,16:53:54,2013,-500,61,0
Jason Ekstrand,Aug,18,16:52:36,2013,-500,10,4
Peter Hutterer,Aug,15,20:58:10,2013,1000,1,0
Bryce W. Harrington,Aug,9,17:44:59,2013,0,2,2
Rob Bradford,Jul,22,17:30:52,2013,100,20,0
Rob Bradford,Jul,22,17:30:51,2013,100,5,0
Bryce W. Harrington,Aug,9,1:47:07,2013,0,1,1
Bryce W. Harrington,Aug,9,1:47:07,2013,0,3,3
Bryce W. Harrington,Aug,9,1:47:07,2013,0,2,2
Bryce W. Harrington,Aug,9,1:47:07,2013,0,1,1
Bryce W. Harrington,Aug,9,1:47:06,2013,0,6,6
Bryce W. Harrington,Aug,9,1:47:05,2013,0,5,5
Bryce W. Harrington,Aug,9,1:47:05,2013,0,1,1
Bryce W. Harrington,Aug,9,1:47:04,2013,0,6,7
Tomeu Vizoso,Aug,8,10:31:56,2013,200,2,0
Peter Hutterer,Aug,7,11:05:59,2013,1000,2,0
Peter Hutterer,Aug,7,11:05:58,2013,1000,4,0
Peter Hutterer,Aug,7,11:05:57,2013,1000,23,6
Kristian Høgsberg,Aug,7,9:17:02,2013,-700,2,1
Tomeu Vizoso,Aug,6,20:05:53,2013,200,58,13
Kristian Høgsberg,Aug,6,10:15:35,2013,-700,4,14
Kristian Høgsberg,Aug,6,9:50:14,2013,-700,6,2
Jiergir Ogoerg,Jul,29,16:50:44,2013,-700,4,7
Tomeu Vizoso,Jul,11,16:08:20,2013,200,64,1
Kristian Høgsberg,Jul,13,1:30:45,2013,-400,2,2
Kristian Høgsberg,Jul,13,0:42:14,2013,-400,2,0
Kristian Høgsberg,Jul,13,0:35:21,2013,-400,41,18
Mariusz Ceier,Jul,10,23:40:56,2013,200,1,0
Kristian Høgsberg,Jul,9,19:27:08,2013,-400,1,1
Kristian Høgsberg,Jul,9,19:18:10,2013,-400,4,3
Kristian Høgsberg,Jul,9,18:59:11,2013,-400,1,4
Kristian Høgsberg,Jul,9,17:55:45,2013,-400,4,2
Neil Roberts,Jul,9,14:10:45,2013,100,8,0
Kristian Høgsberg,Jul,8,18:45:41,2013,-400,60,17
Daiki Ueno,Jul,2,18:38:15,2013,900,32,18
Daiki Ueno,Jul,2,18:38:14,2013,900,2,2
Kristian Høgsberg,Jul,2,16:59:44,2013,-400,6,3
Kristian Høgsberg,Jul,2,16:57:45,2013,-400,1,0
Kristian Høgsberg,Jul,2,15:39:03,2013,-400,60,9
Kristian Høgsberg,Jul,2,14:34:42,2013,-400,70,54
Kristian Høgsberg,Jul,2,14:09:16,2013,-400,1,0
Jason Ekstrand,Jul,2,14:57:10,2013,-400,15,0
Jason Ekstrand,Jun,27,20:09:20,2013,-500,80,32
Jason Ekstrand,Jun,27,20:09:19,2013,-500,50,12
Kristian Høgsberg,Jun,27,20:09:18,2013,-500,57,42
Rob Bradford,Jun,24,16:50:41,2013,100,2,0
Jason Ekstrand,Jun,20,20:36:49,2013,-500,19,37
Jason Ekstrand,Jun,20,20:36:48,2013,-500,25,26
Jason Ekstrand,Jun,20,20:36:47,2013,-500,21,4
Jason Ekstrand,Jun,18,12:42:40,2013,-500,4,1
Ander Conselvan de Oliveira,Jun,11,18:21:32,2013,300,85,0
